Feature Removed,Included Columns,P-Values,R,RMSE
month_sin,"['month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.7146806531611857, 'month_cos': 0.14799542721442316, 'Temp': 0.32769416631425974, 'sea_level': 0.10959262037628979, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 6.661706580648681e-14, 'rolling_3m': 0.002221921603301221, 'rolling_6m': 1.487399667944443e-06, 'rolling_12m': 0.1469488339887305, 'Age_category_IMMATURE': 0.17743301563781033, 'Age_category_UNKNOWN/OTHER': 0.6306093855828514}",0.9030141484600438,0.043354381274091296
month_cos,"['month_sin', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.20526639813841988, 'month_sin': 0.08560311491054805, 'Temp': 0.24786267242149226, 'sea_level': 0.03567391914555994, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 6.443188905091412e-14, 'rolling_3m': 0.0021386363051401577, 'rolling_6m': 1.4298171794216824e-06, 'rolling_12m': 0.13936675755519065, 'Age_category_IMMATURE': 0.18291979386969065, 'Age_category_UNKNOWN/OTHER': 0.6436592083765591}",0.9030341294028067,0.04335365727044516
Temp,"['month_sin', 'month_cos', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.5330937634388988, 'month_sin': 0.19862616877049652, 'month_cos': 0.27993876282654, 'sea_level': 0.05804969952644037, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 6.838119383621586e-14, 'rolling_3m': 0.002159226654823176, 'rolling_6m': 1.4103542247564676e-06, 'rolling_12m': 0.14210237497547748, 'Age_category_IMMATURE': 0.17977538225328082, 'Age_category_UNKNOWN/OTHER': 0.6363284326951861}",0.9030302390294276,0.043361509009017744
sea_level,"['month_sin', 'month_cos', 'Temp', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.35990719485510625, 'month_sin': 0.91123160664109, 'month_cos': 0.31668575589938247, 'Temp': 0.5540388015796072, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 1.1737785444334508e-13, 'rolling_3m': 0.0022564816663900697, 'rolling_6m': 1.4808309549101694e-06, 'rolling_12m': 0.17755403755809754, 'Age_category_IMMATURE': 0.15323411995389477, 'Age_category_UNKNOWN/OTHER': 0.5728585217278019}",0.9029550965184783,0.04334943290901173
Age_category,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m']","{'const': 0.3973768996518843, 'month_sin': 0.3426239851156032, 'month_cos': 0.9913995510655489, 'Temp': 0.6631864241568364, 'sea_level': 0.056456346725990925, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 9.948896446590031e-14, 'rolling_3m': 0.0020574222300171557, 'rolling_6m': 1.2916599207741717e-06, 'rolling_12m': 0.08262990931047841}",0.902990048320232,0.0433227217461359
age_cat_Monthly_Percent,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.03759511056571423, 'month_sin': 0.48128854949729616, 'month_cos': 0.4058590796938969, 'Temp': 0.28640384406159825, 'sea_level': 7.578628517258498e-05, 'age_cat_Yearly_Percent': 0.0, 'rolling_3m': 0.15058506056523246, 'rolling_6m': 2.8313750025721566e-06, 'rolling_12m': 0.007420444255416541, 'Age_category_IMMATURE': 0.9915290004638906, 'Age_category_UNKNOWN/OTHER': 0.38655757620755427}",0.6773627348580131,0.08816163383319939
age_cat_Yearly_Percent,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.5910855842464768, 'month_sin': 0.36375635018337926, 'month_cos': 0.866928911089089, 'Temp': 0.7786086716502713, 'sea_level': 0.13283747864799358, 'age_cat_Monthly_Percent': 0.0, 'rolling_3m': 0.0017939275619208582, 'rolling_6m': 3.3717800478233272e-06, 'rolling_12m': 0.05406355331940215, 'Age_category_IMMATURE': 0.36746330349921263, 'Age_category_UNKNOWN/OTHER': 0.920720801857125}",0.9017232858774139,0.04194435169253085
rolling_3m,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_6m', 'rolling_12m', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.5760808547005188, 'month_sin': 0.37324479833309976, 'month_cos': 0.9823096226270824, 'Temp': 0.6977292099009887, 'sea_level': 0.06876717015445051, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 5.545181755584818e-14, 'rolling_6m': 0.00019788556008850636, 'rolling_12m': 0.18844737455562963, 'Age_category_IMMATURE': 0.17333040436459582, 'Age_category_UNKNOWN/OTHER': 0.6222149934640707}",0.9028155084277466,0.04354697441199834
rolling_6m,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_12m', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.5542544830322531, 'month_sin': 0.37516167591980487, 'month_cos': 0.9947853634481045, 'Temp': 0.6593409093445708, 'sea_level': 0.06750521228570919, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 1.5112369750760327e-13, 'rolling_3m': 0.8473816741205771, 'rolling_12m': 0.007980215271249548, 'Age_category_IMMATURE': 0.1590371663242101, 'Age_category_UNKNOWN/OTHER': 0.5961390568356129}",0.9024942264308715,0.04330676667411179
rolling_12m,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.6554299503481029, 'month_sin': 0.3752243955328275, 'month_cos': 0.9424932766672952, 'Temp': 0.7050870372503089, 'sea_level': 0.08082246780763952, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 3.000560211503369e-14, 'rolling_3m': 0.0027353957540561737, 'rolling_6m': 1.1530877628912652e-07, 'Age_category_IMMATURE': 0.099867199165787, 'Age_category_UNKNOWN/OTHER': 0.4399014419471361}",0.902983618163454,0.04325834922559267
